iter	Logloss
0	0.6800074285
1	0.6730585483
2	0.6690605922
3	0.6666793632
4	0.6650945871
5	0.6637753174
6	0.6625835282
7	0.6613517755
8	0.6607851673
9	0.6601180975
10	0.6594338484
11	0.6589217202
12	0.6580989931
13	0.6575586408
14	0.6570157876
15	0.6565338658
16	0.6561404668
17	0.6556492589
18	0.6552624271
19	0.6548792639
20	0.6544490546
21	0.6542303951
22	0.6537286641
23	0.6531245075
24	0.6529257172
25	0.6526322355
26	0.6522207121
27	0.6516654803
28	0.6512549795
29	0.6509400858
30	0.650665026
31	0.6502548758
32	0.6500007559
33	0.6497199757
34	0.6493249184
35	0.6490406328
36	0.6484087963
37	0.6480322384
38	0.64761968
39	0.6473198916
40	0.6470836061
41	0.6467579188
42	0.6464949614
43	0.6461661292
44	0.6458009098
45	0.6456105516
46	0.6453383909
47	0.6448796431
48	0.6447196237
49	0.6443897941
50	0.6440854393
51	0.6437407436
52	0.6434884697
53	0.6432760581
54	0.6429397993
55	0.6427357183
56	0.6423684615
57	0.6420119264
58	0.6416455932
59	0.6413759421
60	0.6409096766
61	0.6405512693
62	0.6399475334
63	0.6394937702
64	0.6391361087
65	0.6389015931
66	0.6385371302
67	0.6382981361
68	0.6381416916
69	0.6375814821
70	0.6373191573
71	0.6371624621
72	0.6368741366
73	0.6365775051
74	0.6362076722
75	0.635926714
76	0.6357002293
77	0.6355514398
78	0.6352353168
79	0.63508597
80	0.6349562282
81	0.6348092262
82	0.6344889331
83	0.6342534343
84	0.633832533
85	0.6334787733
86	0.6331624639
87	0.6329020277
88	0.6326255103
89	0.6322461986
90	0.6321063471
91	0.6319563029
92	0.6317075227
93	0.63147384
94	0.6313306346
95	0.6309434081
96	0.6306711146
97	0.6301180462
98	0.6298809935
99	0.6297402942
