iter	Passed	Remaining
0	78	7743
1	85	4174
2	90	2939
3	96	2309
4	101	1928
5	107	1677
6	112	1492
7	117	1351
8	123	1243
9	128	1155
10	137	1114
11	143	1051
12	148	995
13	154	946
14	159	903
15	165	866
16	170	830
17	175	797
18	180	768
19	185	741
20	190	717
21	195	694
22	201	673
23	206	653
24	211	635
25	217	617
26	223	603
27	228	588
28	234	572
29	240	560
30	244	544
31	249	530
32	255	517
33	260	505
34	265	493
35	270	481
36	276	470
37	280	458
38	285	446
39	290	436
40	296	426
41	301	416
42	306	406
43	311	396
44	316	387
45	322	378
46	327	368
47	332	360
48	337	351
49	344	344
50	353	339
51	361	333
52	370	328
53	377	321
54	385	315
55	390	306
56	395	298
57	400	289
58	405	281
59	410	273
60	415	265
61	421	258
62	427	250
63	444	250
64	452	243
65	460	237
66	470	231
67	478	225
68	484	217
69	489	209
70	494	202
71	500	194
72	505	186
73	510	179
74	515	171
75	520	164
76	526	157
77	531	149
78	536	142
79	541	135
80	546	128
81	551	121
82	560	114
83	567	108
84	575	101
85	584	95
86	591	88
87	600	81
88	609	75
89	616	68
90	621	61
91	627	54
92	632	47
93	637	40
94	642	33
95	648	27
96	653	20
97	658	13
98	663	6
99	668	0
